epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.41547,0.3516,0.30314,0.6047,0.5653,9.961e-05
2,0.26878,0.5984,0.20238,0.747,0.7173,9.844e-05
3,0.17263,0.7267,0.15037,0.7866,0.7573,9.652e-05
4,0.13769,0.7733,0.13586,0.8281,0.8112,9.388e-05
5,0.12393,0.8036,0.10681,0.8123,0.7941,9.055e-05
6,0.11107,0.8117,0.10011,0.8458,0.8246,8.658e-05
7,0.09199,0.836,0.10698,0.8577,0.8392,8.205e-05
8,0.08298,0.8491,0.10029,0.83,0.8134,7.702e-05
9,0.07986,0.8565,0.0903,0.8755,0.8619,7.158e-05
10,0.06869,0.8664,0.07845,0.8696,0.8532,6.58e-05
11,0.07176,0.8717,0.09238,0.8676,0.8499,5.978e-05
12,0.06132,0.8815,0.07779,0.8775,0.8653,5.361e-05
13,0.05609,0.8875,0.08154,0.8676,0.8581,4.739e-05
14,0.05259,0.8932,0.08428,0.8775,0.8656,4.122e-05
15,0.04916,0.8984,0.08349,0.8755,0.8661,3.52e-05
16,0.04967,0.9009,0.08837,0.8676,0.8559,2.942e-05
17,0.04133,0.9083,0.08822,0.8696,0.8544,2.398e-05
18,0.04192,0.9016,0.08372,0.8715,0.8587,1.895e-05
19,0.04176,0.9094,0.08407,0.8735,0.8617,1.442e-05
20,0.03804,0.908,0.07915,0.8794,0.8669,1.045e-05
21,0.03623,0.9087,0.08672,0.8814,0.8693,7.12e-06
22,0.04236,0.9111,0.08714,0.8794,0.8685,4.48e-06
23,0.04048,0.9147,0.0838,0.8775,0.8652,2.56e-06
24,0.03907,0.9108,0.08463,0.8814,0.8693,1.39e-06
25,0.03844,0.9171,0.08278,0.8814,0.8705,1e-06
