epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42774,0.4319,0.27734,0.5756,0.5713,9.961e-05
2,0.23855,0.6798,0.16405,0.7387,0.7322,9.844e-05
3,0.17038,0.7676,0.20457,0.7623,0.7442,9.652e-05
4,0.13212,0.8037,0.1296,0.7996,0.7953,9.388e-05
5,0.1113,0.8292,0.11735,0.831,0.8294,9.055e-05
6,0.09831,0.8378,0.1145,0.8291,0.8234,8.658e-05
7,0.08635,0.854,0.11762,0.8487,0.8453,8.205e-05
8,0.07846,0.866,0.11632,0.8409,0.8391,7.702e-05
9,0.07021,0.8726,0.10788,0.8585,0.8576,7.158e-05
10,0.06768,0.879,0.10535,0.8605,0.8629,6.58e-05
11,0.06706,0.882,0.10525,0.8625,0.8583,5.978e-05
12,0.05629,0.9001,0.10447,0.8585,0.8611,5.361e-05
13,0.05161,0.8989,0.10465,0.8644,0.8623,4.739e-05
14,0.04922,0.9004,0.10672,0.8743,0.8714,4.122e-05
15,0.04546,0.9104,0.10183,0.8723,0.8715,3.52e-05
16,0.04213,0.9173,0.10897,0.8743,0.8705,2.942e-05
17,0.03881,0.9188,0.1112,0.8743,0.8708,2.398e-05
18,0.03745,0.9249,0.10376,0.8821,0.8798,1.895e-05
19,0.03976,0.9215,0.10934,0.8782,0.8755,1.442e-05
20,0.03091,0.931,0.10588,0.8821,0.8809,1.045e-05
21,0.03402,0.9281,0.10526,0.8802,0.8807,7.12e-06
22,0.03023,0.9266,0.10801,0.8861,0.8853,4.48e-06
23,0.03222,0.9288,0.11062,0.8861,0.8856,2.56e-06
24,0.03329,0.9315,0.1076,0.888,0.8887,1.39e-06
25,0.03384,0.9252,0.10715,0.8841,0.8841,1e-06
