epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.45503,0.4039,0.35619,0.5925,0.5796,9.961e-05
2,0.27182,0.6384,0.24093,0.6747,0.6658,9.844e-05
3,0.19018,0.7444,0.18688,0.762,0.7604,9.652e-05
4,0.14916,0.7936,0.17729,0.7911,0.7866,9.388e-05
5,0.11935,0.8205,0.15672,0.8373,0.8314,9.055e-05
6,0.10974,0.8467,0.14619,0.8202,0.8126,8.658e-05
7,0.09804,0.8529,0.15123,0.8322,0.8232,8.205e-05
8,0.08526,0.8578,0.14257,0.851,0.8407,7.702e-05
9,0.08241,0.8674,0.14581,0.8356,0.8243,7.158e-05
10,0.07037,0.8863,0.13662,0.8527,0.8422,6.58e-05
11,0.06296,0.8965,0.13492,0.863,0.8574,5.978e-05
12,0.06258,0.898,0.13711,0.8596,0.8465,5.361e-05
13,0.05343,0.9023,0.12881,0.8613,0.8536,4.739e-05
14,0.05144,0.903,0.13241,0.8442,0.8297,4.122e-05
15,0.0476,0.9116,0.14168,0.863,0.8527,3.52e-05
16,0.04145,0.915,0.14178,0.8613,0.8481,2.942e-05
17,0.04162,0.9243,0.14492,0.8545,0.8425,2.398e-05
18,0.04177,0.9193,0.13486,0.8647,0.8535,1.895e-05
19,0.03967,0.9181,0.14011,0.8545,0.8422,1.442e-05
20,0.03938,0.9249,0.13824,0.863,0.8538,1.045e-05
21,0.03625,0.9314,0.14274,0.8613,0.8494,7.12e-06
22,0.03304,0.9295,0.14744,0.8596,0.8469,4.48e-06
23,0.03432,0.9311,0.14822,0.863,0.8543,2.56e-06
24,0.03281,0.9265,0.14865,0.8613,0.8512,1.39e-06
25,0.03487,0.9302,0.14941,0.8613,0.8509,1e-06
