epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.32918,0.6467,0.16488,0.8323,0.8351,9.961e-05
2,0.13815,0.8543,0.09449,0.8957,0.8969,9.844e-05
3,0.09693,0.8972,0.08048,0.9117,0.9139,9.652e-05
4,0.07465,0.9213,0.0656,0.935,0.9355,9.388e-05
5,0.06436,0.9303,0.05266,0.935,0.9359,9.055e-05
6,0.05437,0.9396,0.05626,0.9366,0.9385,8.658e-05
7,0.04632,0.9454,0.04811,0.943,0.9449,8.205e-05
8,0.04058,0.9518,0.05122,0.9494,0.9499,7.702e-05
9,0.03774,0.9539,0.04678,0.947,0.9472,7.158e-05
10,0.03428,0.9615,0.0562,0.939,0.9408,6.58e-05
11,0.03048,0.9632,0.0479,0.947,0.9481,5.978e-05
12,0.02647,0.9658,0.04918,0.9494,0.9505,5.361e-05
13,0.02602,0.9679,0.04944,0.9478,0.9488,4.739e-05
14,0.01972,0.974,0.04705,0.9462,0.9479,4.122e-05
15,0.02005,0.9736,0.05155,0.9559,0.9562,3.52e-05
16,0.01759,0.9768,0.05216,0.9494,0.9508,2.942e-05
17,0.01589,0.9767,0.05379,0.9535,0.9542,2.398e-05
18,0.0155,0.9775,0.05308,0.9486,0.9496,1.895e-05
19,0.01371,0.9806,0.05227,0.9575,0.958,1.442e-05
20,0.01216,0.9847,0.05088,0.9518,0.9527,1.045e-05
21,0.01284,0.9815,0.05225,0.9575,0.9577,7.12e-06
22,0.01103,0.984,0.0531,0.9543,0.9545,4.48e-06
23,0.0106,0.984,0.05486,0.9567,0.9571,2.56e-06
24,0.01122,0.9825,0.05301,0.9583,0.9585,1.39e-06
25,0.01107,0.9852,0.0553,0.9583,0.9589,1e-06
