epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44797,0.323,0.37407,0.4564,0.3488,9.961e-05
2,0.29783,0.5648,0.19646,0.7092,0.6792,9.844e-05
3,0.21486,0.6972,0.15073,0.7897,0.7662,9.652e-05
4,0.16569,0.744,0.10906,0.8255,0.8118,9.388e-05
5,0.13492,0.7792,0.0787,0.8412,0.8368,9.055e-05
6,0.12412,0.803,0.07407,0.8635,0.8572,8.658e-05
7,0.10342,0.8359,0.08175,0.868,0.8638,8.205e-05
8,0.09206,0.8375,0.06948,0.8702,0.8669,7.702e-05
9,0.08056,0.849,0.06426,0.8837,0.8853,7.158e-05
10,0.07757,0.8593,0.07609,0.8523,0.8366,6.58e-05
11,0.07961,0.8569,0.06016,0.8904,0.8863,5.978e-05
12,0.07267,0.8617,0.05414,0.8949,0.891,5.361e-05
13,0.05999,0.8783,0.05799,0.9016,0.898,4.739e-05
14,0.06264,0.8795,0.0515,0.8949,0.8932,4.122e-05
15,0.0578,0.8894,0.05822,0.8926,0.8932,3.52e-05
16,0.05436,0.8862,0.06199,0.8971,0.8968,2.942e-05
17,0.04944,0.8922,0.0649,0.8926,0.8869,2.398e-05
18,0.04865,0.9017,0.05819,0.8993,0.8974,1.895e-05
19,0.04943,0.8969,0.0589,0.9083,0.9069,1.442e-05
20,0.04997,0.8938,0.05476,0.9105,0.9111,1.045e-05
21,0.04219,0.914,0.05716,0.906,0.9025,7.12e-06
22,0.04464,0.91,0.05943,0.9083,0.9056,4.48e-06
23,0.04476,0.8993,0.05871,0.906,0.9057,2.56e-06
24,0.04497,0.8997,0.06226,0.9128,0.9111,1.39e-06
25,0.03698,0.9104,0.06359,0.9105,0.9117,1e-06
