epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44057,0.3497,0.29553,0.5763,0.5377,9.961e-05
2,0.30093,0.5346,0.21221,0.6697,0.6436,9.844e-05
3,0.21735,0.6519,0.13576,0.7722,0.746,9.652e-05
4,0.17033,0.7357,0.11125,0.8155,0.7996,9.388e-05
5,0.13826,0.7744,0.11967,0.8405,0.8298,9.055e-05
6,0.12371,0.7906,0.12662,0.8383,0.8261,8.658e-05
7,0.10096,0.8226,0.08799,0.877,0.8672,8.205e-05
8,0.09502,0.8297,0.10422,0.8747,0.8637,7.702e-05
9,0.08745,0.8305,0.08375,0.8724,0.8584,7.158e-05
10,0.08458,0.8467,0.07822,0.877,0.8616,6.58e-05
11,0.07647,0.8621,0.07612,0.8747,0.8594,5.978e-05
12,0.06527,0.8645,0.0777,0.8793,0.8628,5.361e-05
13,0.06594,0.8649,0.07646,0.8838,0.8635,4.739e-05
14,0.05636,0.8708,0.07112,0.8861,0.8706,4.122e-05
15,0.0578,0.8827,0.06883,0.8838,0.8694,3.52e-05
16,0.05731,0.8819,0.07193,0.8838,0.8659,2.942e-05
17,0.04717,0.8834,0.06854,0.8884,0.8721,2.398e-05
18,0.04371,0.891,0.07026,0.8838,0.8683,1.895e-05
19,0.0503,0.8811,0.07235,0.8838,0.8671,1.442e-05
20,0.04586,0.8882,0.06564,0.8929,0.8808,1.045e-05
21,0.04221,0.9048,0.0685,0.8884,0.8772,7.12e-06
22,0.04293,0.8882,0.07265,0.8884,0.8788,4.48e-06
23,0.04554,0.8929,0.07308,0.8929,0.8783,2.56e-06
24,0.05018,0.8965,0.07377,0.8929,0.8814,1.39e-06
25,0.04619,0.8989,0.07363,0.8975,0.8875,1e-06
