epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.49252,0.3942,0.32872,0.6142,0.5907,9.961e-05
2,0.30621,0.6099,0.19754,0.7406,0.7162,9.844e-05
3,0.22548,0.7137,0.19264,0.7339,0.7154,9.652e-05
4,0.1632,0.7853,0.15687,0.7428,0.7181,9.388e-05
5,0.13615,0.8062,0.10579,0.8293,0.8143,9.055e-05
6,0.1278,0.8208,0.09789,0.8537,0.8373,8.658e-05
7,0.11188,0.8414,0.09345,0.8692,0.8539,8.205e-05
8,0.09006,0.8553,0.09135,0.8714,0.8524,7.702e-05
9,0.08451,0.8759,0.08956,0.8714,0.8573,7.158e-05
10,0.07125,0.8784,0.10454,0.8559,0.8349,6.58e-05
11,0.06508,0.8895,0.10345,0.8492,0.83,5.978e-05
12,0.05704,0.8999,0.08822,0.9002,0.8859,5.361e-05
13,0.05258,0.9063,0.09398,0.8803,0.8635,4.739e-05
14,0.05293,0.9034,0.09526,0.8692,0.8498,4.122e-05
15,0.04465,0.9145,0.0975,0.8936,0.8768,3.52e-05
16,0.04961,0.9082,0.09673,0.8803,0.8613,2.942e-05
17,0.0423,0.9224,0.10026,0.8825,0.8576,2.398e-05
18,0.03951,0.9231,0.09791,0.8914,0.8731,1.895e-05
19,0.04412,0.9208,0.09855,0.8847,0.8669,1.442e-05
20,0.04057,0.9202,0.10048,0.878,0.8577,1.045e-05
21,0.04283,0.9262,0.09932,0.8869,0.8672,7.12e-06
22,0.03644,0.9212,0.09982,0.8914,0.8686,4.48e-06
23,0.03258,0.9294,0.10194,0.8847,0.8643,2.56e-06
24,0.03229,0.9351,0.10036,0.8869,0.866,1.39e-06
25,0.03595,0.9275,0.10176,0.8891,0.8692,1e-06
