epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44451,0.3461,0.31257,0.5548,0.5372,9.961e-05
2,0.28982,0.5717,0.21123,0.7226,0.7025,9.844e-05
3,0.21227,0.6878,0.17363,0.745,0.7365,9.652e-05
4,0.17226,0.7371,0.09568,0.8076,0.8083,9.388e-05
5,0.14163,0.7776,0.07049,0.8501,0.8516,9.055e-05
6,0.12666,0.802,0.05951,0.877,0.8753,8.658e-05
7,0.11233,0.8118,0.05419,0.8837,0.8861,8.205e-05
8,0.10822,0.8298,0.04914,0.8792,0.8719,7.702e-05
9,0.09447,0.8526,0.05235,0.868,0.8664,7.158e-05
10,0.08152,0.8583,0.05718,0.8837,0.8759,6.58e-05
11,0.0772,0.8662,0.04939,0.8859,0.881,5.978e-05
12,0.0744,0.8801,0.05424,0.9038,0.9061,5.361e-05
13,0.07094,0.8655,0.05263,0.8837,0.8798,4.739e-05
14,0.06249,0.876,0.061,0.8837,0.8788,4.122e-05
15,0.05155,0.8861,0.05817,0.8501,0.8496,3.52e-05
16,0.05815,0.8829,0.06335,0.8904,0.8991,2.942e-05
17,0.05445,0.8909,0.05114,0.8926,0.8899,2.398e-05
18,0.04857,0.9133,0.05691,0.8859,0.8868,1.895e-05
19,0.04237,0.9054,0.05297,0.8859,0.8864,1.442e-05
20,0.04834,0.9016,0.05348,0.877,0.8759,1.045e-05
21,0.0463,0.9,0.05155,0.8814,0.8829,7.12e-06
22,0.04509,0.907,0.05044,0.8904,0.8902,4.48e-06
23,0.04471,0.9029,0.05224,0.8949,0.8965,2.56e-06
24,0.04734,0.9073,0.05421,0.8904,0.891,1.39e-06
25,0.04421,0.9105,0.05186,0.8926,0.8949,1e-06
