epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.48953,0.415,0.32201,0.6173,0.5809,9.961e-05
2,0.31801,0.6081,0.20575,0.7654,0.7516,9.844e-05
3,0.22967,0.7043,0.1485,0.795,0.7755,9.652e-05
4,0.17196,0.7728,0.12933,0.8292,0.812,9.388e-05
5,0.15843,0.7813,0.10641,0.8542,0.8379,9.055e-05
6,0.13097,0.8246,0.09212,0.8633,0.8495,8.658e-05
7,0.11495,0.8315,0.10329,0.8724,0.8591,8.205e-05
8,0.10467,0.8413,0.11061,0.8679,0.8595,7.702e-05
9,0.10852,0.8473,0.10135,0.8998,0.8897,7.158e-05
10,0.08501,0.8709,0.10436,0.8884,0.8851,6.58e-05
11,0.07769,0.8788,0.0875,0.8952,0.8828,5.978e-05
12,0.07206,0.887,0.11481,0.8884,0.8768,5.361e-05
13,0.06768,0.8886,0.09644,0.8998,0.8862,4.739e-05
14,0.07405,0.8829,0.09004,0.8975,0.8873,4.122e-05
15,0.0583,0.8987,0.08834,0.8702,0.8756,3.52e-05
16,0.05881,0.9006,0.08969,0.8975,0.8909,2.942e-05
17,0.05244,0.9091,0.09867,0.9112,0.9001,2.398e-05
18,0.04687,0.918,0.08053,0.9066,0.9013,1.895e-05
19,0.05032,0.9091,0.11283,0.9157,0.9012,1.442e-05
20,0.04252,0.9277,0.08676,0.9021,0.8922,1.045e-05
21,0.0453,0.9142,0.08908,0.9066,0.9002,7.12e-06
22,0.04578,0.9148,0.08209,0.9066,0.8969,4.48e-06
23,0.04918,0.9116,0.1138,0.9043,0.8946,2.56e-06
24,0.04611,0.912,0.09266,0.9157,0.909,1.39e-06
25,0.04428,0.9161,0.08498,0.9089,0.9024,1e-06
