epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.4235,0.5507,0.30697,0.7002,0.656,9.961e-05
2,0.21405,0.7741,0.16607,0.8434,0.8232,9.844e-05
3,0.14528,0.8493,0.14625,0.8166,0.8105,9.652e-05
4,0.11756,0.8766,0.11002,0.8725,0.8621,9.388e-05
5,0.09093,0.8996,0.08673,0.9038,0.9072,9.055e-05
6,0.07993,0.9068,0.09042,0.8993,0.8964,8.658e-05
7,0.06423,0.9231,0.08296,0.8971,0.8968,8.205e-05
8,0.06022,0.9252,0.08517,0.9083,0.9179,7.702e-05
9,0.0556,0.9335,0.08282,0.9038,0.9022,7.158e-05
10,0.04874,0.9421,0.07505,0.9217,0.9241,6.58e-05
11,0.04079,0.9471,0.0794,0.9284,0.9326,5.978e-05
12,0.03839,0.9525,0.08041,0.9016,0.904,5.361e-05
13,0.03433,0.9502,0.08269,0.906,0.9083,4.739e-05
14,0.03207,0.9562,0.07221,0.9284,0.9293,4.122e-05
15,0.0308,0.9611,0.08482,0.9016,0.9027,3.52e-05
16,0.02628,0.9607,0.08198,0.9128,0.9137,2.942e-05
17,0.02448,0.968,0.07415,0.9195,0.9247,2.398e-05
18,0.02262,0.9653,0.08055,0.9239,0.9233,1.895e-05
19,0.02163,0.9686,0.08358,0.9172,0.9206,1.442e-05
20,0.01973,0.97,0.07994,0.9239,0.9257,1.045e-05
21,0.01931,0.9694,0.07998,0.915,0.9191,7.12e-06
22,0.01823,0.9764,0.0836,0.9172,0.9204,4.48e-06
23,0.01822,0.9735,0.08035,0.9195,0.9247,2.56e-06
24,0.01706,0.9711,0.07839,0.9195,0.9246,1.39e-06
25,0.0172,0.9721,0.08228,0.915,0.9184,1e-06
