epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.29071,0.7078,0.2777,0.7315,0.6924,9.961e-05
2,0.11546,0.889,0.16867,0.7919,0.791,9.844e-05
3,0.08035,0.925,0.11933,0.8479,0.8425,9.652e-05
4,0.06143,0.9393,0.11182,0.8747,0.8667,9.388e-05
5,0.05344,0.946,0.09757,0.8792,0.8723,9.055e-05
6,0.04372,0.9542,0.10569,0.877,0.8737,8.658e-05
7,0.03608,0.9622,0.08718,0.8881,0.89,8.205e-05
8,0.03252,0.9634,0.09178,0.8792,0.8732,7.702e-05
9,0.03107,0.9645,0.0852,0.8904,0.8893,7.158e-05
10,0.02639,0.9679,0.07929,0.8859,0.8908,6.58e-05
11,0.0226,0.9745,0.08963,0.9038,0.898,5.978e-05
12,0.0205,0.9745,0.10249,0.8904,0.8858,5.361e-05
13,0.01893,0.9769,0.10358,0.8814,0.8827,4.739e-05
14,0.01552,0.9802,0.08835,0.9128,0.9147,4.122e-05
15,0.01344,0.9817,0.10132,0.8881,0.8987,3.52e-05
16,0.01286,0.9825,0.09622,0.8993,0.9046,2.942e-05
17,0.01257,0.9835,0.0975,0.906,0.9108,2.398e-05
18,0.06496,0.9227,0.0951,0.9128,0.9169,1.895e-05
19,0.05228,0.9346,0.09351,0.9172,0.9224,1.442e-05
20,0.04281,0.9429,0.08973,0.9172,0.921,1.045e-05
21,0.04665,0.9405,0.0898,0.9083,0.9116,7.12e-06
22,0.04103,0.9509,0.09026,0.8993,0.9061,4.48e-06
23,0.03991,0.9429,0.0933,0.8971,0.9066,2.56e-06
24,0.03183,0.9608,0.08211,0.9128,0.9196,1.39e-06
25,0.04086,0.9481,0.07848,0.9172,0.9205,1e-06
