epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.23399,0.6367,0.22336,0.6779,0.6546,9.961e-05
2,0.09974,0.8551,0.13718,0.7562,0.7434,9.844e-05
3,0.06709,0.9046,0.07438,0.8322,0.8308,9.652e-05
4,0.05039,0.9214,0.06317,0.8546,0.8441,9.388e-05
5,0.04542,0.931,0.05777,0.8523,0.8465,9.055e-05
6,0.03761,0.9411,0.06297,0.8479,0.8426,8.658e-05
7,0.03129,0.9492,0.05486,0.8702,0.8603,8.205e-05
8,0.02432,0.9549,0.0544,0.8568,0.8561,7.702e-05
9,0.0257,0.9557,0.07152,0.8926,0.8886,7.158e-05
10,0.02217,0.9581,0.0532,0.8814,0.8888,6.58e-05
11,0.0195,0.9647,0.06493,0.8814,0.8758,5.978e-05
12,0.01597,0.9653,0.06286,0.877,0.8728,5.361e-05
13,0.01449,0.9703,0.09603,0.8792,0.8745,4.739e-05
14,0.01232,0.9724,0.0785,0.8993,0.897,4.122e-05
15,0.01058,0.973,0.09175,0.868,0.8729,3.52e-05
16,0.00977,0.9761,0.08776,0.8725,0.8785,2.942e-05
17,0.01192,0.9743,0.08748,0.8859,0.8865,2.398e-05
18,0.00906,0.9777,0.08616,0.8725,0.8686,1.895e-05
19,0.00836,0.9772,0.0866,0.8635,0.869,1.442e-05
20,0.00767,0.9794,0.06846,0.8904,0.8852,1.045e-05
21,0.00664,0.9812,0.07461,0.8837,0.8829,7.12e-06
22,0.00678,0.981,0.07916,0.8747,0.878,4.48e-06
23,0.00602,0.9836,0.08053,0.8881,0.8895,2.56e-06
24,0.00699,0.9812,0.08231,0.8792,0.8823,1.39e-06
25,0.00703,0.9824,0.07793,0.868,0.8699,1e-06
