epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.37845,0.4979,0.30273,0.5188,0.4884,9.961e-05
2,0.21527,0.6769,0.22536,0.6386,0.6138,9.844e-05
3,0.15938,0.7788,0.14266,0.7428,0.7249,9.652e-05
4,0.11535,0.8207,0.16787,0.8049,0.7805,9.388e-05
5,0.1022,0.8424,0.11879,0.8337,0.8174,9.055e-05
6,0.08425,0.8541,0.11843,0.8381,0.8226,8.658e-05
7,0.08213,0.8619,0.10541,0.8581,0.8439,8.205e-05
8,0.06669,0.8913,0.1105,0.8581,0.8496,7.702e-05
9,0.05827,0.8927,0.12471,0.8559,0.8323,7.158e-05
10,0.05638,0.8992,0.11865,0.8492,0.8276,6.58e-05
11,0.04953,0.901,0.10404,0.8625,0.847,5.978e-05
12,0.04165,0.913,0.09462,0.8647,0.8532,5.361e-05
13,0.03601,0.9205,0.09863,0.8514,0.8328,4.739e-05
14,0.03792,0.92,0.106,0.8692,0.8485,4.122e-05
15,0.03545,0.9211,0.10197,0.8803,0.8669,3.52e-05
16,0.02735,0.9315,0.10843,0.878,0.8626,2.942e-05
17,0.03227,0.9257,0.11191,0.8825,0.8629,2.398e-05
18,0.02658,0.931,0.11767,0.8869,0.8701,1.895e-05
19,0.03083,0.9328,0.10703,0.8825,0.8664,1.442e-05
20,0.02627,0.9349,0.11346,0.8758,0.8608,1.045e-05
21,0.026,0.9317,0.11487,0.8803,0.8617,7.12e-06
22,0.02739,0.9372,0.11881,0.8758,0.8557,4.48e-06
23,0.02444,0.9351,0.11459,0.878,0.855,2.56e-06
24,0.02566,0.9377,0.11495,0.8803,0.8593,1.39e-06
25,0.0266,0.9354,0.12366,0.878,0.8579,1e-06
