epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42905,0.5534,0.32274,0.6517,0.6221,9.961e-05
2,0.21811,0.7665,0.1915,0.8045,0.7825,9.844e-05
3,0.15207,0.8356,0.16751,0.8112,0.7872,9.652e-05
4,0.11889,0.8701,0.14839,0.8449,0.8273,9.388e-05
5,0.10144,0.8842,0.12845,0.8629,0.8496,9.055e-05
6,0.08207,0.9098,0.13633,0.8517,0.8362,8.658e-05
7,0.07359,0.9086,0.13023,0.8584,0.8462,8.205e-05
8,0.07436,0.9127,0.13625,0.8742,0.858,7.702e-05
9,0.05892,0.9282,0.13106,0.8719,0.8549,7.158e-05
10,0.05091,0.9342,0.129,0.8831,0.8704,6.58e-05
11,0.04868,0.94,0.12785,0.8787,0.8636,5.978e-05
12,0.04682,0.9415,0.13327,0.8764,0.8516,5.361e-05
13,0.04141,0.9456,0.13194,0.8809,0.8648,4.739e-05
14,0.03573,0.9522,0.12955,0.8809,0.8624,4.122e-05
15,0.03726,0.9508,0.12557,0.8831,0.8665,3.52e-05
16,0.03271,0.9539,0.12301,0.8742,0.8582,2.942e-05
17,0.02954,0.9601,0.13373,0.8899,0.8713,2.398e-05
18,0.02662,0.9601,0.14222,0.8831,0.8632,1.895e-05
19,0.02848,0.9636,0.13757,0.8854,0.8694,1.442e-05
20,0.02483,0.9615,0.15315,0.8854,0.8648,1.045e-05
21,0.026,0.9642,0.14258,0.8876,0.8658,7.12e-06
22,0.02149,0.9679,0.14151,0.8831,0.8617,4.48e-06
23,0.02122,0.9723,0.1417,0.8944,0.8748,2.56e-06
24,0.02111,0.9673,0.13745,0.8876,0.867,1.39e-06
25,0.02339,0.968,0.13637,0.8899,0.8742,1e-06
