epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.43442,0.535,0.33221,0.6555,0.5757,9.961e-05
2,0.2284,0.7421,0.17943,0.7919,0.7795,9.844e-05
3,0.16559,0.8326,0.14127,0.8255,0.8092,9.652e-05
4,0.12382,0.8692,0.10916,0.8479,0.8401,9.388e-05
5,0.10369,0.887,0.08945,0.8904,0.8968,9.055e-05
6,0.08758,0.9006,0.10813,0.8635,0.8668,8.658e-05
7,0.07752,0.9155,0.08672,0.8859,0.8833,8.205e-05
8,0.06829,0.9246,0.09384,0.8859,0.8887,7.702e-05
9,0.06329,0.9281,0.07244,0.9016,0.9038,7.158e-05
10,0.05278,0.9374,0.079,0.8926,0.8958,6.58e-05
11,0.04828,0.9374,0.08247,0.9105,0.9117,5.978e-05
12,0.04741,0.9423,0.07606,0.9083,0.9155,5.361e-05
13,0.04262,0.9465,0.06989,0.9128,0.9169,4.739e-05
14,0.03826,0.95,0.076,0.9217,0.9177,4.122e-05
15,0.0375,0.9485,0.0711,0.9105,0.9139,3.52e-05
16,0.03293,0.9558,0.07148,0.9105,0.9171,2.942e-05
17,0.0296,0.958,0.06931,0.9083,0.9122,2.398e-05
18,0.02925,0.9618,0.07091,0.906,0.9066,1.895e-05
19,0.02471,0.9667,0.07644,0.9038,0.9035,1.442e-05
20,0.02664,0.9614,0.07576,0.915,0.9194,1.045e-05
21,0.02394,0.9647,0.07362,0.9038,0.903,7.12e-06
22,0.0235,0.9647,0.07589,0.8993,0.9012,4.48e-06
23,0.02149,0.9713,0.07297,0.9128,0.9158,2.56e-06
24,0.02303,0.9653,0.0725,0.9083,0.912,1.39e-06
25,0.02365,0.9663,0.0776,0.9105,0.9137,1e-06
