exp,seed,fold,argmax,tuned,delta
A,42,0,0.8643938120625428,0.8675548428476862,0.003161030785143404
A,42,1,0.8742949099305269,0.8786077143641047,0.004312804433577733
A,42,2,0.8691403696693988,0.8675748958563141,-0.0015654738130846946
A,1,0,0.8742945604336264,0.8619583542933212,-0.012336206140305173
A,1,1,0.857542372072212,0.8694138251220572,0.01187145304984527
A,1,2,0.851862989343381,0.8486866303679002,-0.003176358975480853
A,2,0,0.8684844285475979,0.8740504928091715,0.005566064261573578
A,2,1,0.8697630415317664,0.8665615105133626,-0.0032015310184038137
A,2,2,0.8687666319733476,0.8795372522373368,0.010770620263989228
B,42,0,0.8714826212326845,0.8582049148613745,-0.013277706371309983
B,42,1,0.9042927150593295,0.8957706573510121,-0.008522057708317377
B,42,2,0.8835608522400753,0.8807461917718301,-0.0028146604682451892
B,1,0,0.8787420649293279,0.8698538599504533,-0.008888204978874659
B,1,1,0.8743606022046143,0.8725991686440193,-0.0017614335605949938
B,1,2,0.8963164849069187,0.8900274263811377,-0.006289058525780988
B,2,0,0.8767838093091643,0.8825965092857797,0.005812699976615376
B,2,1,0.8803104151757262,0.879640583851093,-0.0006698313246331633
B,2,2,0.8815361732091835,0.8818414466175253,0.0003052734083417441
V4,42,0,0.8917809737617391,0.8803597988652803,-0.011421174896458886
V4,42,1,0.8987979039776034,0.9001576016625881,0.0013596976849846731
V4,42,2,0.8855715592166971,0.8818309036242088,-0.0037406555924882623
V4,1,0,0.8803641504970332,0.8839234692148159,0.0035593187177827
V4,1,1,0.8790252637501277,0.8844779102118243,0.005452646461696631
V4,1,2,0.8783707481960069,0.8786828979119546,0.00031214971594772933
V4,2,0,0.8895666017536785,0.8927940416436472,0.003227439889968653
V4,2,1,0.8794732655036197,0.8770146691195639,-0.0024585963840557667
V4,2,2,0.8858492494104259,0.8896991925271486,0.0038499431167227094
C,42,0,0.8840326342297161,0.8912990449416347,0.007266410711918581
C,42,1,0.9065806157447422,0.9053896722498417,-0.0011909434949005648
C,42,2,0.8647643260685696,0.8634995694980512,-0.0012647565705183883
