epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.39215,0.3715,0.23864,0.5942,0.5652,9.961e-05
2,0.22965,0.6473,0.19162,0.6368,0.6291,9.844e-05
3,0.15886,0.7447,0.14958,0.8027,0.7842,9.652e-05
4,0.12201,0.7884,0.09873,0.8161,0.7991,9.388e-05
5,0.1046,0.8126,0.09094,0.8475,0.8317,9.055e-05
6,0.09374,0.8328,0.10874,0.8587,0.8489,8.658e-05
7,0.08024,0.8462,0.08398,0.8655,0.8486,8.205e-05
8,0.0728,0.86,0.08808,0.8565,0.8424,7.702e-05
9,0.06053,0.8779,0.09323,0.8475,0.829,7.158e-05
10,0.0619,0.8712,0.09017,0.8677,0.8482,6.58e-05
11,0.0568,0.8777,0.09294,0.8543,0.8426,5.978e-05
12,0.0561,0.8858,0.11523,0.87,0.8551,5.361e-05
13,0.04763,0.89,0.10059,0.8677,0.8566,4.739e-05
14,0.04666,0.8976,0.10184,0.8767,0.863,4.122e-05
15,0.04474,0.9004,0.10693,0.8857,0.8744,3.52e-05
16,0.04193,0.9015,0.09791,0.8744,0.8576,2.942e-05
17,0.0381,0.9066,0.10871,0.8857,0.8732,2.398e-05
18,0.03294,0.9105,0.11735,0.8857,0.8742,1.895e-05
19,0.03626,0.9147,0.10594,0.8812,0.8655,1.442e-05
20,0.03045,0.9147,0.11975,0.8901,0.8754,1.045e-05
21,0.03684,0.9127,0.11894,0.8789,0.8646,7.12e-06
22,0.03494,0.9167,0.12374,0.8857,0.8726,4.48e-06
23,0.03156,0.9105,0.10977,0.8857,0.8705,2.56e-06
24,0.03144,0.9139,0.11295,0.8812,0.8649,1.39e-06
25,0.02721,0.9206,0.11331,0.8834,0.8688,1e-06
