epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.40366,0.467,0.2714,0.6217,0.6012,9.961e-05
2,0.23658,0.685,0.21317,0.73,0.7158,9.844e-05
3,0.17155,0.766,0.16183,0.794,0.7853,9.652e-05
4,0.14102,0.7971,0.1519,0.8099,0.8073,9.388e-05
5,0.11129,0.8302,0.1317,0.8188,0.8127,9.055e-05
6,0.10899,0.848,0.1374,0.8135,0.8061,8.658e-05
7,0.10033,0.8483,0.15175,0.8384,0.835,8.205e-05
8,0.09333,0.8585,0.17999,0.8224,0.8157,7.702e-05
9,0.07781,0.8692,0.14727,0.8508,0.8438,7.158e-05
10,0.06849,0.8812,0.15952,0.8615,0.8505,6.58e-05
11,0.06889,0.8928,0.15525,0.8348,0.8336,5.978e-05
12,0.05823,0.9011,0.2005,0.8472,0.8333,5.361e-05
13,0.04987,0.9082,0.15693,0.8668,0.8605,4.739e-05
14,0.04646,0.9079,0.17298,0.8632,0.8546,4.122e-05
15,0.04749,0.9156,0.1494,0.8721,0.8663,3.52e-05
16,0.04238,0.9143,0.16787,0.8526,0.8417,2.942e-05
17,0.04496,0.9156,0.15647,0.8526,0.8437,2.398e-05
18,0.03675,0.9288,0.16701,0.8579,0.8483,1.895e-05
19,0.03911,0.9288,0.18379,0.8686,0.8572,1.442e-05
20,0.02882,0.9275,0.19196,0.8668,0.8551,1.045e-05
21,0.03015,0.9364,0.16464,0.8632,0.8525,7.12e-06
22,0.02959,0.9275,0.17432,0.8632,0.8496,4.48e-06
23,0.02521,0.9426,0.17664,0.8526,0.8405,2.56e-06
24,0.02981,0.9355,0.17806,0.8615,0.848,1.39e-06
25,0.03044,0.9349,0.1856,0.8579,0.8468,1e-06
