epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.29476,0.6856,0.13548,0.8413,0.8434,9.961e-05
2,0.11898,0.8743,0.11829,0.8774,0.879,9.844e-05
3,0.08481,0.9084,0.07743,0.9197,0.9221,9.652e-05
4,0.06476,0.9287,0.08061,0.9243,0.9261,9.388e-05
5,0.05227,0.9384,0.06898,0.9378,0.9401,9.055e-05
6,0.05012,0.941,0.06172,0.9387,0.94,8.658e-05
7,0.04269,0.9502,0.05949,0.9342,0.9357,8.205e-05
8,0.03546,0.9581,0.05809,0.9423,0.944,7.702e-05
9,0.03484,0.9562,0.06,0.9423,0.9441,7.158e-05
10,0.02936,0.9619,0.06417,0.9405,0.9421,6.58e-05
11,0.02841,0.9656,0.06829,0.9414,0.9434,5.978e-05
12,0.02317,0.9683,0.05845,0.9441,0.9458,5.361e-05
13,0.02206,0.97,0.06313,0.9477,0.9492,4.739e-05
14,0.01925,0.9733,0.06592,0.9459,0.9476,4.122e-05
15,0.01715,0.9733,0.07033,0.945,0.9466,3.52e-05
16,0.01544,0.9781,0.06604,0.945,0.9471,2.942e-05
17,0.01332,0.9802,0.06196,0.9504,0.9521,2.398e-05
18,0.01279,0.9808,0.06464,0.9513,0.9533,1.895e-05
19,0.0112,0.9819,0.07271,0.945,0.9465,1.442e-05
20,0.01065,0.9832,0.06738,0.9495,0.9515,1.045e-05
21,0.00972,0.9848,0.06887,0.9486,0.9501,7.12e-06
22,0.01042,0.985,0.07127,0.9477,0.9497,4.48e-06
23,0.00982,0.9837,0.07007,0.9513,0.9536,2.56e-06
24,0.00852,0.9848,0.06961,0.9504,0.9522,1.39e-06
25,0.00934,0.9861,0.06987,0.9486,0.9505,1e-06
